Site,Condition,Bird,UnitTemp,Date,Time,AntennaNum,Notes
1157Jenkins,BF,3B004892BF,33.7,4/8/2024,13:12:22,1,
1157Jenkins,BF,3B004892BF,33.6,4/8/2024,17:08:58,1,
1157Jenkins,BF,3B004892BF,33.6,4/8/2024,17:09:01,1,
1157Jenkins,BF,3B004892BF,33.6,4/8/2024,17:09:23,1,
1157Jenkins,BF,3B004892BF,28.4,5/8/2024,9:00:49,1,
1157Jenkins,BF,3B004892BF,28.4,5/8/2024,9:01:11,1,
1157Jenkins,BF,3B004892BF,34,5/8/2024,14:24:28,1,
1157Jenkins,BF,3B004892BF,23.7,6/8/2024,7:19:10,1,
1157Jenkins,BF,3B004892BF,30.9,13/07/2024,9:16:59,1,
1157Jenkins,BF,3B004892BF,34.7,13/07/2024,17:39:45,1,
1157Jenkins,BF,3B004892BF,36.2,14/07/2024,15:47:26,1,
1157Jenkins,BF,3B004892BF,25.8,15/07/2024,7:08:05,1,
1157Jenkins,BF,3B004892BF,30.1,17/07/2024,14:54:47,1,
1157Jenkins,BF,3B004892BF,29.7,17/07/2024,17:16:10,1,
1157Jenkins,BF,3B004892BF,25,19/07/2024,7:57:27,1,
1157Jenkins,BF,3B004892BF,25,19/07/2024,7:57:32,1,
1157Jenkins,BF,3B004892BF,24.4,20/07/2024,6:07:24,1,
1157Jenkins,BF,3B004892BF,32.3,22/06/2024,10:41:12,1,
1157Jenkins,BF,3B004892BF,31.2,24/07/2024,13:34:13,1,
1157Jenkins,BF,3B004892BF,29,26/07/2024,11:20:29,1,
1157Jenkins,BF,3B00497A68,20.2,21/08/2024,6:35:35,1,
1157Jenkins,BF,3B00497A68,20.2,21/08/2024,6:35:41,1,
1157Jenkins,BF,3B00497A68,20.2,21/08/2024,6:35:56,1,
1157Jenkins,BF,3B00497A68,20.3,21/08/2024,6:37:19,1,
1157Jenkins,BF,3B00497A68,20.8,21/08/2024,7:47:16,1,
1157Jenkins,BF,3B00497A68,20.8,21/08/2024,7:48:08,1,
1157Jenkins,BF,3B00497A68,20.9,21/08/2024,7:48:16,1,
1157Jenkins,BF,3B00497A68,20.9,21/08/2024,7:48:22,1,
1157Jenkins,BF,3B00497A68,23.1,21/08/2024,8:35:56,1,
1157Jenkins,BF,3B00497A68,30.4,21/08/2024,11:26:07,1,
1157Jenkins,BF,3B00497A68,26.7,23/08/2024,9:42:28,1,
1157Jenkins,BF,3B00497A68,19.6,24/08/2024,7:32:21,1,
1157Jenkins,BF,3B00497A68,19.6,24/08/2024,7:32:33,1,
1157Jenkins,BF,3B00497A68,26.3,24/08/2024,9:04:57,1,
